location,dimension,data,source_url,source_title,excerpt,validation_status,match_method,match_score,matched_snippet,http_status,claim_support,claim_support_reason,relevance_score
"Plant in Mexicali, Mexico",water_stress,Baja California (the state containing Mexicali) is classified as a 'water scarcity' region with several areas inside the state rated as 'extremely high water risk' by the WRI Aqueduct tool.,https://iwaponline.com/ws/article/21/6/2760/76153/Estimating-the-future-hydric-needs-of-Baja,"Estimating the future hydric needs of Baja California, Mexico. Assessment of scenarios to stop being a region with water scarcity | Water Supply | IWA Publishing","According with the National Water Commission of Mexico (EAM 2018), the water availability per capita in BC in 2017 was 849 m3 year−1, which allows it to be classified, using FAO (2014) indicators, as a 'water scarcity' region, and several areas inside BC as 'extremely high water risk' (WRI-AQUEDUCT 2019).",blocked,none,0,,403,,,
"Plant in Mexicali, Mexico",water_stress,Baja California is among the Mexican states with the greatest exposure to high water stress (Aqueduct scores of 70 or higher on a 1-100 scale) in the current decade (2020-2030).,https://www.spglobal.com/sustainable1/en/insights/special-editorial/more-mexican-states-could-face-water-stress-by-2050,More Mexican states could face water stress by 2050 | S&P Global,"The data shows that in this decade (2020-2030), 11 of Mexico's 32 states face high water stress (with scores of 70 or higher). Of these 11, the states with the greatest exposure are Baja California and Baja California Sur in the north, Aguascalientes in the Bajío region in the central part of the country, and Mexico City.",blocked,none,0,,403,,,
"Plant in Mexicali, Mexico",water_stress,"Baja California is highlighted as one of the most concerning cases of water scarcity in Mexico, with a regional dryness index reaching 4.67 out of 5 in 2025, near its highest recorded level.",https://mexicobusiness.news/sustainability/news/water-stress-strategic-risk-business-mexico,Water Stress: Strategic Risk for Business in Mexico,"According to the State Citizen Water Commission, 2025 was one of the driest years for the region since 1950, reaching an index of 4.67 out of 5, placing it near its highest recorded level.",match,exact,100,,200,YES,Excerpt confirms the 4.67/5 dryness index and near-record status as claimed.,
"Plant in Mexicali, Mexico",incidents,"Social protests against the establishment of the Constellation Brands brewery in Mexicali began after the project's announcement in April 2015, centered on regional water scarcity and overexploitation, and lack of transparency around building an aqueduct for the brewery's exclusive use.",https://www.scielo.org.mx/scielo.php?pid=S0187-73722020000100116&script=sci_arttext&tlng=en,Elements of Socio-Environmental Conflict: The Constellation Brands Brewery and Mexicali Water,"Since the announcement of the intention to build the brewery in Mexicali in April 2015, a series of social protests were unleashed in the municipality against the project itself and the lack of transparency implemented by the state governments' promoters when explaining the use of public resources to construct an aqueduct for the brewery's sole use.",match,exact,100,,200,YES,"Excerpt supports timing, cause (water concerns/transparency), and aqueduct issue.",
"Plant in Mexicali, Mexico",incidents,"In 2017, more than 12,000 Mexicali residents took to the streets to protest the brewery project, and some of the protesters were subsequently charged with offenses related to the demonstrations.",https://www.prnewswire.com/news-releases/mexicali-resiste-vs-constellation-brands-activists-demand-water-rights-and-freedom-301423490.html,Mexicali Resiste VS. Constellation Brands: Activists Demand WATER RIGHTS and FREEDOM,"Local outrage peaked in 2017, when over 12,000 residents of Mexicali took to the streets, including the members of Mexicali Resiste who now stand trial.",match,fuzzy,99,"local outrage peaked in 2017, when over 12,000 residents of mexicali took to the streets , including the members of mexicali resiste who now stand trial.",200,PARTIAL,"Excerpt confirms 12,000+ protesters and that some now 'stand trial', but doesn't specify they were charged with offenses related to the demonstrations.",
"Plant in Mexicali, Mexico",incidents,"In 2018, conflict escalated when the company attempted to build an aqueduct on residents' private property, and demonstrators had stopped trucks traveling to the brewery and occupied the Baja California Congress on multiple occasions.",https://dialogue.earth/en/water/26653-water-or-beer/,Water or beer? | Dialogue Earth,"In 2018, citizens were enraged when the company tried to build an aqueduct on residents’ private property, inflaming the conflict.",match,exact,100,,200,PARTIAL,Excerpt only supports the aqueduct-on-private-property conflict in 2018; it does not mention stopping trucks or occupying Congress multiple times.,
"Plant in Mexicali, Mexico",regulations,"Under Mexico's federal Ley de Aguas Nacionales, any authorization, permit, concession, or assignment for water use must prioritize human and domestic water consumption, and the water authority can reduce or cancel a concessioned water volume if there is a risk to human/domestic water availability.",https://www.ordenjuridico.gob.mx/Documentos/Federal/html/wo83103.html,ley de aguas nacionales,"Cualquier autorización, permiso, concesión, asignación o prórroga que se otorgue conforme a la presente ley debe priorizar el consumo humano y doméstico del agua. ... En caso de que exista riesgo de disponibilidad de agua para consumo humano y doméstico, “la Autoridad del Agua” disminuirá o cancelará el volumen de agua concesionada.",excerpt_not_found,fuzzy,87,,200,,,
"Plant in Mexicali, Mexico",regulations,"NOM-001-SEMARNAT-2021 sets mandatory permissible contaminant limits for wastewater discharges into nationally owned receiving bodies, applying to industrial and other dischargers, and became obligatory with a gradual compliance timeline.",https://www.gob.mx/semarnat/prensa/se-publica-nom-001-semarnat-2021-que-establece-limites-de-contaminantes-en-descargas-de-aguas-residuales,"Se publica NOM-001-SEMARNAT-2021, que establece límites de contaminantes en descargas de aguas residuales | SEMARNAT","La NOM-001-SEMARNAT-2021 será de observancia obligatoria para los responsables de las descargas de aguas residuales en cualquier tipo de cuerpo receptor propiedad de la Nación y tendrá un cumplimiento y vigencia gradual, establecida en sus artículos transitorios, entrando en vigor a los 365 días naturales posteriores a su publicación en el Diario Oficial de la Federación.",excerpt_not_found,fuzzy,50,,200,,,
"Plant in Mexicali, Mexico",regulations,"Mexico's water law reform centralizes in CONAGUA (the National Water Commission) the exclusive authority to grant, supervise, modify, revoke, and reassign water concessions and permits, meaning no private company can manage or negotiate water rights without government authorization.",https://lexlatin.com/reportajes/ley-general-de-aguas-mexico-mineria-agroindustria-parques-industriales,"LexLatin | ¿Qué dice la Ley General de Aguas y cómo impacta a la minería, la agroindustria y a los parques industriales en México?","Además, la norma centraliza en la Comisión Nacional del Agua (Conagua) la facultad exclusiva para otorgar, supervisar, modificar, revocar y reasignar concesiones y permisos. En la práctica, ninguna empresa privada o actor puede administrar o negociar derechos de agua sin autorización gubernamental.",match,exact,100,,200,YES,Excerpt directly matches the claim about CONAGUA's centralized authority and private companies needing government authorization.,
"Plant in Monterrey, Mexico",water_stress,"The watershed supplying the Monterrey Metropolitan Area has extremely low per-capita water availability, comparable to some of the most water-poor countries in the world, and was projected to worsen by 2020.",https://en.wikipedia.org/wiki/Urban_water_management_in_Monterrey,Urban water management in Monterrey,"Taking discharge and aquifer recharge, current population and average hydrology into account, the watershed possesses a water availability of 484 m3 per inhabitant per year and would be reduced to 230 m3 per inhabitant per year by the year 2020.",match,fuzzy,99,"taking discharge and aquifer recharge, current population and average hydrology into account, the watershed possesses a water availability of 484 m 3 per inhabitant per year and would be reduced to 230 m 3 per inhabitant per year by the year 2020.",200,PARTIAL,Excerpt supports the low per-capita figures and 2020 projection but does not compare Monterrey's water scarcity to the most water-poor countries in the world.,
